Elite%20Soccer%20%28U%29.zip|Elite Soccer (U)|1.6M
Emerald%20Dragon.zip|Emerald Dragon|618.2K
Emmitt%20Smith%20Football%20%28U%29.zip|Emmitt Smith Football (U)|2.2M
Energy%20Breaker.zip|Energy Breaker|624.8K
Equinox%20%28U%29.zip|Equinox (U)|501.7K
Extra%20Innings%20%28U%29.zip|Extra Innings (U)|1.0M
Extras/Breath%20of%20Fire%20%28USA%2C%20Europe%29%20%28Switch%20Online%29.zip|Breath of Fire (USA, Europe) (Switch Online)|1.7M
Extras/Breath%20of%20Fire%20II%20%28USA%2C%20Europe%29%20%28Virtual%20Console%2C%20Switch%20Online%29.zip|Breath of Fire II (USA, Europe) (Virtual Console, Switch Online)|734.1K
Extras/Contra%20III%20-%20The%20Alien%20Wars%20%28USA%29%20%28Virtual%20Console%29.zip|Contra III - The Alien Wars (USA) (Virtual Console)|1.3M
Extras/Demon%27s%20Crest%20%28USA%2C%20Europe%29%20%28Switch%20Online%29.zip|Demon's Crest (USA, Europe) (Switch Online)|2.4M
Extras/Donkey%20Kong%20Country%20%28USA%2C%20Europe%29%20%28Rev%202%29%20%28Virtual%20Console%2C%20Classic%20Mini%2C%20Switch%20Online%29.zip|Donkey Kong Country (USA, Europe) (Rev 2) (Virtual Console, Classic Mini, Switch Online)|2.8M
Extras/Donkey%20Kong%20Country%202%20-%20Diddy%27s%20Kong%20Quest%20%28USA%29%20%28En%2CFr%29%20%28Rev%201%29%20%28Virtual%20Console%29.zip|Donkey Kong Country 2 - Diddy's Kong Quest (USA) (En,Fr) (Rev 1) (Virtual Console)|541.2K
Extras/Earth%20Defense%20Force%20%28USA%2C%20Europe%29%20%28Switch%20Online%29.zip|Earth Defense Force (USA, Europe) (Switch Online)|282.6K
Extras/F-Zero%20%28USA%2C%20Europe%29%20%28Virtual%20Console%2C%20Classic%20Mini%2C%20Switch%20Online%29.zip|F-Zero (USA, Europe) (Virtual Console, Classic Mini, Switch Online)|658.0K
Extras/Final%20Fantasy%20II%20%28USA%2C%20Europe%29%20%28Rev%201%29%20%28Virtual%20Console%29.zip|Final Fantasy II (USA, Europe) (Rev 1) (Virtual Console)|628.0K
