beathead|BeatHead (prototype)|2.9M
beezer|Beezer (set 1)|25.3K
beezer1|Beezer (set 2)|23.6K
benberob|Ben Bero Beh (Japan)|94.8K
berabohm|Beraboh Man (Japan version C)|755.1K
beraboho|Beraboh Man (Japan version B)|755.0K
berlwall|The Berlin Wall (set 1)|2.2M
berlwalt|The Berlin Wall (set 2)|2.2M
bermudaa|Bermuda Triangle (US older version)|392.3K
bermudao|Bermuda Triangle (Japan old version)|456.8K
bermudat|Bermuda Triangle (Japan)|457.9K
berzerk|Berzerk (set 1)|9.7K
berzerk1|Berzerk (set 2)|9.4K
bigbang|Big Bang (9th Nov. 1993)|3.9M
bigbucks|Big Bucks|305.0K
bigevglf|Big Event Golf|204.4K
bigkarnk|Big Karnak|1.1M
bigprowr|The Big Pro Wrestling!|101.0K
bigrun|Big Run (11th Rallye version)|2.3M
bigstrik|Big Striker|717.2K
bigstrkb|Big Striker (bootleg)|1.0M
bigtwin|Big Twin|798.8K
bijokkog|Bijokko Gakuen (Japan 880116)|411.7K
bijokkoy|Bijokko Yume Monogatari (Japan 870925)|561.5K
billiard|The Billiards|15.5K
bioatack|Bio Attack|34.5K
biofreak|BioFreaks (prototype)|82.8K
biomtoy|Biomechanical Toy (unprotected)|2.8M
bionicc|Bionic Commando (US set 1)|333.1K
bionicc2|Bionic Commando (US set 2)|333.0K
bioship|Bio-ship Paladin|1.3M
birdtry|Birdie Try (Japan)|396.0K
bishi|Bishi Bashi Championship Mini Game Senshuken (ver JAA, 3 Players)|2.6M
bjourney|Blue's Journey / Raguy|3.4M
bjtwin|Bomb Jack Twin|1.9M
bking|Birdie King|27.7K
bking2|Birdie King 2|39.1K
bking3|Birdie King 3|46.7K
bkrtmaq|Bakuretsu Quiz Ma-Q Dai Bouken (Japan)|1.6M
bktigerb|Black Tiger (bootleg)|330.7K
bladestl|Blades of Steel (version T)|868.9K
bladstle|Blades of Steel (version E)|868.3K
blandia|Blandia|3.2M
blandiap|Blandia (prototype)|3.5M
blasted|Blasted|474.2K
blaster|Blaster|104.2K
blastkit|Blaster (kit)|104.1K
blasto|Blasto|2.9K
blastoff|Blast Off (Japan)|744.2K
blazeon|Blaze On (Japan)|1.1M
blazer|Blazer (Japan)|993.9K
blazstar|Blazing Star|21.2M
blckgalb|Block Gal (bootleg)|72.1K
blckout2|Block Out (set 2)|200.5K
blckoutj|Block Out (Japan)|199.5K
bldwolf|Bloody Wolf (US)|275.5K
blitz|NFL Blitz|77.5K
blitz2k|NFL Blitz 2000|128.7K
blitz99|NFL Blitz '99|126.9K
blkbustr|BlockBuster|23.8K
blkdrgnb|Black Dragon (bootleg)|328.1K
blkdrgon|Black Dragon|332.5K
blkhearj|Black Heart (Japan)|1.1M
blkheart|Black Heart|1.1M
blkhole|Black Hole|10.1K
blkpnthr|Black Panther|265.7K
blktiger|Black Tiger|330.7K
blmbycar|Blomby Car|1.4M
blmbycau|Blomby Car (not encrypted)|1.4M
block|Block Block (World 911106 Joystick)|494.1K
blocka|Block Block (World 910910)|494.1K
blockade|Blockade|1.5K
blockbl|Block Block (bootleg)|502.5K
blockcar|Block Carnival - Thunder and Lightning 2|781.5K
blocken|Blocken (Japan)|1,017.4K
blockgal|Block Gal|55.6K
blockhl|Block Hole|126.2K
blockj|Block Block (Japan 910910)|492.0K
blockout|Block Out (set 1)|198.5K
bloodbro|Blood Bros.|1.1M
bloods11|Blood Storm (v1.10)|8.7M
bloods21|Blood Storm (v2.10)|8.7M
bloods22|Blood Storm (v2.20)|8.7M
bloodstm|Blood Storm (v2.22)|8.7M
bloodwar|Blood Warrior|11.3M
bloxeed|Bloxeed|173.1K
bloxeedc|Bloxeed (C System)|213.8K
blsthead|Blasteroids (with heads)|616.4K
blstroi2|Blasteroids (rev 2)|598.2K
blstroi3|Blasteroids (rev 3)|598.4K
blstroid|Blasteroids (rev 4)|598.4K
blstroig|Blasteroids (German, rev 2)|598.4K
blswhstl|Bells and Whistles (Version L)|1.7M
bluehawk|Blue Hawk|728.4K
bluehawn|Blue Hawk (NTC)|728.7K
blueprnj|Blue Print (Jaleco)|22.4K
blueprnt|Blue Print (Midway)|22.7K
blueshrk|Blue Shark|3.8K
blzntrnd|Blazing Tornado|14.1M
bm1stmix|beatmania (ver JA-B)|1.2M
bm2ndmix|beatmania 2nd MIX (ver JA-B)|1.4M
bm2ndmxa|beatmania 2nd MIX (ver JA-A)|1.4M
bm4thmix|beatmania 4th MIX (ver JA-A)|1.3M
bmaster|Blade Master (World)|1.8M
bmcompmx|beatmania complete MIX (ver JA-B)|1.5M
bmcorerm|beatmania CORE REMIX (ver JA-A)|1.5M
bmdct|beatmania f. Dreams Come True (ver JA-A)|1.5M
bnglngby|Vs. Raid on Bungeling Bay (Japan)|24.2K
bnj|Bump 'n' Jump|24.5K
bnzabros|Bonanza Bros|923.8K
boblbobl|Bobble Bobble|183.0K
bodyslam|Body Slam|342.4K
bogeyman|Bogey Manor|88.3K
boggy84|Boggy '84|25.5K
bombbee|Bomb Bee|6.9K
bombjac2|Bomb Jack (set 2)|55.6K
bombjack|Bomb Jack (set 1)|55.6K
bombrman|Bomberman (Japan)|364.6K
bonkadv|Bonk's Adventure|4.9M
bonzeadu|Bonze Adventure (US)|843.5K
bonzeadv|Bonze Adventure (World)|843.5K
boogwing|Boogie Wings (Euro v1.5)|7.9M
boogwinga|Boogie Wings (Asia v1.5)|7.9M
boomrang|Boomer Rang'r - Genesis|60.6K
bootcamp|Boot Camp|524.1K
boothill|Boot Hill|5.9K
borench|Borench|203.1K
bosco|Bosconian (new version)|35.8K
boscomd|Bosconian (Midway, new version)|35.6K
boscomdo|Bosconian (Midway, old version)|35.7K
boscoo|Bosconian (old version)|35.7K
boscoo2|Bosconian (older version)|35.7K
botanic|Botanic|19.4K
bottom9|Bottom of the Ninth (version T)|962.1K
bottom9n|Bottom of the Ninth (version N)|962.0K
bouldash|Boulder Dash - Boulder Dash Part 2 (World)|509.7K
bouldshj|Boulder Dash - Boulder Dash Part 2 (Japan)|509.9K
bounty|The Bounty|22.1K
bowler|4 Player Bowling Alley|7.7K
bowlrama|Bowl-O-Rama|159.8K
boxer|Boxer (prototype)|5.5K
boxingb|Boxing Bugs|25.8K
boxyboy|Boxy Boy (US)|225.7K
bradley|Bradley Trainer|13.7K
brain|Brain|90.6K
brapboys|B.Rap Boys (World)|5.1M
brapboysj|B.Rap Boys Special (Japan)|5.4M
brdrlinb|Borderline (bootleg)|13.4K
breakers|Breakers|13.8M
breakrev|Breakers Revenge|15.7M
breywood|Breywood (Japan revision 2)|281.7K
brickyrd|Brickyard|2.4K
brickzn|Brick Zone (v5.0)|518.6K
brickzn3|Brick Zone (v3.0)|518.2K
brival|Burning Rival (Japan)|11.6M
brix|Brix|27.3K
brkthru|Break Thru (US)|129.7K
brkthruj|Kyohkoh-Toppa (Japan)|129.6K
brubber|Burnin' Rubber|22.6K
brutforc|Brute Force|1.9M
brvblade|Brave Blade (JAPAN)|3.1M
bshark|Battle Shark (US)|2.3M
bsharkj|Battle Shark (Japan)|2.3M
bsharkjjs|Battle Shark (Japan, Joystick)|2.2M
bsktball|Basketball|7.6K
